Case,Columns,Vectorizer,Recall,Precision,F1,Blocking Time,Matching Time,#Results,Delta
D6,2,st5,0.8584474885844748,0.21233340862886832,0.34045635639261135,1.3226237297058105,0.015692472457885742,4427,0.4999999999999996
D7,2,st5,0.0,0.0,0.0,1.145078182220459,0.0006506443023681641,0,0.95
D7,2,st5,0.0,0.0,0.0,1.145078182220459,0.0006554126739501953,0,0.8999999999999999
D7,2,st5,0.0,0.0,0.0,1.145078182220459,0.0006563663482666016,0,0.8499999999999999
D7,2,st5,0.0005081300813008131,1.0,0.0010157440325038092,1.145078182220459,0.0006592273712158203,1,0.7999999999999998
D7,2,st5,0.017276422764227643,1.0,0.03396603396603397,1.145078182220459,0.0006852149963378906,34,0.7499999999999998
D7,2,st5,0.11941056910569106,0.9325396825396826,0.21171171171171171,1.145078182220459,0.0008113384246826172,252,0.6999999999999997
D7,2,st5,0.2703252032520325,0.8896321070234113,0.41465315666406855,1.145078182220459,0.0011172294616699219,598,0.6499999999999997
D7,2,st5,0.5757113821138211,0.7797660013764625,0.662379421221865,1.145078182220459,0.0020933151245117188,1453,0.5999999999999996
D7,2,st5,0.8008130081300813,0.5447632215693052,0.6484262497428513,1.145078182220459,0.010450601577758789,2893,0.5499999999999996
D7,2,st5,0.801829268292683,0.48553846153846153,0.604829436565734,1.145078182220459,0.013130426406860352,3250,0.4999999999999996
D8,2,st5,0.0011723329425556857,1.0,0.00234192037470726,0.592745304107666,0.0010523796081542969,1,0.95
D8,2,st5,0.011723329425556858,0.8333333333333334,0.023121387283236993,0.592745304107666,0.0010688304901123047,12,0.8999999999999999
D8,2,st5,0.053927315357561546,0.71875,0.10032715376226825,0.592745304107666,0.0011050701141357422,64,0.8499999999999999
D8,2,st5,0.1488862837045721,0.635,0.24121557454890788,0.592745304107666,0.0012137889862060547,200,0.7999999999999998
D8,2,st5,0.324736225087925,0.4990990990990991,0.39346590909090906,0.592745304107666,0.0015413761138916016,555,0.7499999999999998
D8,2,st5,0.5181711606096131,0.36438582028029676,0.4278799612778315,0.592745304107666,0.0023980140686035156,1213,0.6999999999999997
D8,2,st5,0.6354044548651817,0.28662083553675305,0.39504373177842567,0.592745304107666,0.0041522979736328125,1891,0.6499999999999997
D8,2,st5,0.6576787807737398,0.2403598971722365,0.3520552243489175,0.592745304107666,0.006361484527587891,2334,0.5999999999999996
D8,2,st5,0.6588511137162955,0.22570281124497993,0.33622494765180977,0.592745304107666,0.007369518280029297,2490,0.5499999999999996
D8,2,st5,0.6588511137162955,0.22570281124497993,0.33622494765180977,0.592745304107666,0.007628679275512695,2490,0.4999999999999996
D9,2,st5,0.0,0.0,0.0,0.6295018196105957,0.00177764892578125,0,0.95
D9,2,st5,0.0012998266897746968,1.0,0.0025962786672436176,0.6295018196105957,0.0017850399017333984,3,0.8999999999999999
D9,2,st5,0.04592720970537262,1.0,0.08782104391052195,0.6295018196105957,0.001844644546508789,106,0.8499999999999999
D9,2,st5,0.17027729636048528,0.9974619289340102,0.2908956328645448,0.6295018196105957,0.0020389556884765625,394,0.7999999999999998
D9,2,st5,0.3479202772963605,0.9876998769987699,0.5145786606856777,0.6295018196105957,0.002403736114501953,813,0.7499999999999998
D9,2,st5,0.5823223570190641,0.9696969696969697,0.7276664861938278,0.6295018196105957,0.003001689910888672,1386,0.6999999999999997
D9,2,st5,0.8353552859618717,0.9455615497793036,0.8870485392224523,0.6295018196105957,0.003927469253540039,2039,0.6499999999999997
D9,2,st5,0.9311091854419411,0.8913313977602655,0.9107861835134562,0.6295018196105957,0.006429195404052734,2411,0.5999999999999996
D9,2,st5,0.9341421143847487,0.8711111111111111,0.901526238762283,0.6295018196105957,0.009742021560668945,2475,0.5499999999999996
D9,2,st5,0.9341421143847487,0.8711111111111111,0.901526238762283,0.6295018196105957,0.010406970977783203,2475,0.4999999999999996
D10,2,st5,0.0,0.0,0.0,6.243902206420898,0.0018546581268310547,0,0.95
D10,2,st5,0.0,0.0,0.0,6.243902206420898,0.001859426498413086,0,0.8999999999999999
D10,2,st5,0.0,0.0,0.0,6.243902206420898,0.0018606185913085938,0,0.8499999999999999
D10,2,st5,0.0,0.0,0.0,6.243902206420898,0.0018618106842041016,0,0.7999999999999998
D10,2,st5,8.747758386913353e-05,1.0,0.00017493986442160508,6.243902206420898,0.0018758773803710938,2,0.7499999999999998
D10,2,st5,0.0012684249661024363,1.0,0.002533636204787699,6.243902206420898,0.0019044876098632812,29,0.6999999999999997
D10,2,st5,0.015002405633556402,0.98,0.029552405979408093,6.243902206420898,0.0021550655364990234,350,0.6499999999999997
D10,2,st5,0.10912828587674409,0.9483086278981376,0.19573232917549227,6.243902206420898,0.004132270812988281,2631,0.5999999999999996
D10,2,st5,0.4080391899575734,0.6261073825503356,0.49408150835473885,6.243902206420898,0.038064002990722656,14900,0.5499999999999996
D10,2,st5,0.4387875606875738,0.5124118908979467,0.47275040644659644,6.243902206420898,0.09593629837036133,19578,0.4999999999999996
