Case,Columns,Vectorizer,Recall,Precision,F1,Matching Time,#Results,Delta
D1,2,albert,0.0,0.0,0.0,0.011492729187011719,95,0.4999999999999996
D1,2,albert,0.0,0.0,0.0,0.011876821517944336,95,0.4499999999999996
D1,2,albert,0.0,0.0,0.0,0.011934041976928711,95,0.39999999999999963
D1,2,albert,0.0,0.0,0.0,0.011951446533203125,96,0.34999999999999964
D1,2,albert,0.0,0.0,0.0,0.011968851089477539,96,0.29999999999999966
D1,2,albert,0.0,0.0,0.0,0.012115240097045898,98,0.24999999999999967
D1,2,albert,0.0,0.0,0.0,0.01241302490234375,101,0.19999999999999968
D1,2,albert,0.056179775280898875,0.043478260869565216,0.049019607843137254,0.013475894927978516,115,0.1499999999999997
D1,2,albert,0.12359550561797752,0.05314009661835749,0.07432432432432433,0.024393320083618164,207,0.09999999999999969
D1,2,albert,0.1797752808988764,0.0471976401179941,0.07476635514018692,0.30086708068847656,339,0.049999999999999684
D1,2,smpnet,0.0,0.0,0.0,0.0003447532653808594,73,0.95
D1,2,smpnet,0.02247191011235955,0.02666666666666667,0.024390243902439022,0.00036263465881347656,75,0.8999999999999999
D1,2,smpnet,0.1797752808988764,0.16326530612244897,0.1711229946524064,0.0004971027374267578,98,0.8499999999999999
D1,2,smpnet,0.4606741573033708,0.3106060606060606,0.3710407239819005,0.0008728504180908203,132,0.7999999999999998
D1,2,smpnet,0.6741573033707865,0.36809815950920244,0.47619047619047616,0.0015740394592285156,163,0.7499999999999998
D1,2,smpnet,0.8426966292134831,0.39267015706806285,0.5357142857142857,0.004230976104736328,191,0.6999999999999997
D1,2,smpnet,0.8651685393258427,0.38308457711442784,0.5310344827586206,0.012927770614624023,201,0.6499999999999997
D1,2,smpnet,0.9101123595505618,0.375,0.5311475409836066,0.0487363338470459,216,0.5999999999999996
D1,2,smpnet,0.9662921348314607,0.3706896551724138,0.5358255451713395,0.15264534950256348,232,0.5499999999999996
D1,2,smpnet,0.9662921348314607,0.2819672131147541,0.43654822335025384,0.3158116340637207,305,0.4999999999999996
D1,2,smpnet,0.9662921348314607,0.2536873156342183,0.4018691588785048,0.5111186504364014,339,0.4499999999999996
D1,2,st5,0.0,0.0,0.0,0.0003466606140136719,73,0.95
D1,2,st5,0.033707865168539325,0.036585365853658534,0.03508771929824561,0.000392913818359375,82,0.8999999999999999
D1,2,st5,0.2808988764044944,0.23148148148148148,0.25380710659898476,0.00047326087951660156,108,0.8499999999999999
D1,2,st5,0.47191011235955055,0.31343283582089554,0.37668161434977576,0.0005886554718017578,134,0.7999999999999998
D1,2,st5,0.7415730337078652,0.38823529411764707,0.5096525096525097,0.0008547306060791016,170,0.7499999999999998
D1,2,st5,0.8314606741573034,0.38341968911917096,0.524822695035461,0.0014925003051757812,193,0.6999999999999997
D1,2,st5,0.9213483146067416,0.38497652582159625,0.543046357615894,0.003708362579345703,213,0.6499999999999997
