,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
61,D1,0,roberta,1,i2q,exact,0.898876404494382,0.03546099290780142,0.01918649673461914
62,D1,0,roberta,1,q2i,approx,0.011235955056179775,0.0029498525073746312,0.12498092651367188
63,D1,0,roberta,1,i2q,approx,0.11235955056179775,0.004432624113475178,0.021637916564941406
64,D1,0,roberta,5,q2i,exact,0.8651685393258427,0.04542772861356932,0.01041555404663086
65,D1,0,roberta,5,i2q,exact,0.9101123595505618,0.007180851063829787,0.022082090377807617
66,D1,0,roberta,5,q2i,approx,0.011235955056179775,0.0005899705014749262,0.12894535064697266
67,D1,0,roberta,5,i2q,approx,0.1348314606741573,0.0010638297872340426,0.023105382919311523
68,D1,0,roberta,10,q2i,exact,0.8651685393258427,0.02271386430678466,0.013760566711425781
69,D1,0,roberta,10,i2q,exact,0.9325842696629213,0.0036790780141843973,0.03345441818237305
70,D1,0,roberta,10,q2i,approx,0.011235955056179775,0.0002949852507374631,0.12755918502807617
71,D1,0,roberta,10,i2q,approx,0.1348314606741573,0.0005319148936170213,0.024922609329223633
72,D1,0,xlnet,1,q2i,exact,0.7865168539325843,0.20648967551622419,0.010968685150146484
73,D1,0,xlnet,1,i2q,exact,0.7752808988764045,0.030585106382978722,0.014947652816772461
74,D1,0,xlnet,1,q2i,approx,0.6741573033707865,0.17699115044247787,0.10660123825073242
75,D1,0,xlnet,1,i2q,approx,0.550561797752809,0.02171985815602837,0.02069711685180664
76,D1,0,xlnet,5,q2i,exact,0.7865168539325843,0.04129793510324484,0.01031184196472168
77,D1,0,xlnet,5,i2q,exact,0.8202247191011236,0.006471631205673759,0.021990537643432617
78,D1,0,xlnet,5,q2i,approx,0.6292134831460674,0.03303834808259587,0.10749173164367676
79,D1,0,xlnet,5,i2q,approx,0.651685393258427,0.005141843971631205,0.021783828735351562
80,D1,0,xlnet,10,q2i,exact,0.7865168539325843,0.02064896755162242,0.012703418731689453
81,D1,0,xlnet,10,i2q,exact,0.8539325842696629,0.003368794326241135,0.03644299507141113
82,D1,0,xlnet,10,q2i,approx,0.651685393258427,0.01710914454277286,0.10816478729248047
83,D1,0,xlnet,10,i2q,approx,0.6853932584269663,0.002703900709219858,0.023914098739624023
84,D1,0,albert,1,q2i,exact,0.7752808988764045,0.20353982300884957,0.010755538940429688
85,D1,0,albert,1,i2q,exact,0.797752808988764,0.031471631205673756,0.016382455825805664
86,D1,0,albert,1,q2i,approx,0.6853932584269663,0.17994100294985252,0.09925246238708496
87,D1,0,albert,1,i2q,approx,0.7752808988764045,0.030585106382978722,0.021097183227539062
88,D1,0,albert,5,q2i,exact,0.7865168539325843,0.04129793510324484,0.010554075241088867
89,D1,0,albert,5,i2q,exact,0.8202247191011236,0.006471631205673759,0.02259206771850586
90,D1,0,albert,5,q2i,approx,0.7303370786516854,0.038348082595870206,0.10035252571105957
91,D1,0,albert,5,i2q,approx,0.8202247191011236,0.006471631205673759,0.022292137145996094
92,D1,0,albert,10,q2i,exact,0.7865168539325843,0.02064896755162242,0.012714385986328125
93,D1,0,albert,10,i2q,exact,0.8426966292134831,0.003324468085106383,0.0332484245300293
94,D1,0,albert,10,q2i,approx,0.7078651685393258,0.018584070796460177,0.10032296180725098
95,D1,0,albert,10,i2q,approx,0.8202247191011236,0.0032358156028368793,0.024217844009399414
96,D1,0,smpnet,1,q2i,exact,0.9550561797752809,0.25073746312684364,0.012083292007446289
97,D1,0,smpnet,1,i2q,exact,0.9887640449438202,0.03900709219858156,0.016041994094848633
98,D1,0,smpnet,1,q2i,approx,0.8202247191011236,0.2153392330383481,0.08340263366699219
99,D1,0,smpnet,1,i2q,approx,0.9325842696629213,0.03679078014184397,0.01581287384033203
100,D1,0,smpnet,5,q2i,exact,0.9775280898876404,0.05132743362831858,0.012701272964477539
101,D1,0,smpnet,5,i2q,exact,1.0,0.007890070921985815,0.023567914962768555
102,D1,0,smpnet,5,q2i,approx,0.8651685393258427,0.04542772861356932,0.08452367782592773
103,D1,0,smpnet,5,i2q,approx,0.9438202247191011,0.007446808510638298,0.018588781356811523
104,D1,0,smpnet,10,q2i,exact,0.9887640449438202,0.025958702064896755,0.014662742614746094
105,D1,0,smpnet,10,i2q,exact,1.0,0.003945035460992907,0.03494596481323242
106,D1,0,smpnet,10,q2i,approx,0.8764044943820225,0.023008849557522124,0.08379554748535156
107,D1,0,smpnet,10,i2q,approx,0.9438202247191011,0.003723404255319149,0.02054619789123535
108,D1,0,st5,1,q2i,exact,0.9325842696629213,0.2448377581120944,0.011114835739135742
109,D1,0,st5,1,i2q,exact,0.9887640449438202,0.03900709219858156,0.015923261642456055
110,D1,0,st5,1,q2i,approx,0.3707865168539326,0.09734513274336283,0.09593534469604492
111,D1,0,st5,1,i2q,approx,0.7078651685393258,0.027925531914893616,0.019286632537841797
112,D1,0,st5,5,q2i,exact,1.0,0.052507374631268436,0.010621309280395508
113,D1,0,st5,5,i2q,exact,1.0,0.007890070921985815,0.02190375328063965
114,D1,0,st5,5,q2i,approx,0.38202247191011235,0.020058997050147492,0.09664654731750488
115,D1,0,st5,5,i2q,approx,0.7415730337078652,0.005851063829787234,0.021726369857788086
116,D1,0,st5,10,q2i,exact,1.0,0.026253687315634218,0.012959957122802734
117,D1,0,st5,10,i2q,exact,1.0,0.003945035460992907,0.0320582389831543
118,D1,0,st5,10,q2i,approx,0.38202247191011235,0.010029498525073746,0.09909272193908691
119,D1,0,st5,10,i2q,approx,0.7303370786516854,0.002881205673758865,0.02263927459716797
120,D1,0,sdistilroberta,1,q2i,exact,0.9438202247191011,0.24778761061946902,0.011797189712524414
121,D1,0,sdistilroberta,1,i2q,exact,0.9775280898876404,0.03856382978723404,0.01590752601623535
122,D1,0,sdistilroberta,1,q2i,approx,0.5842696629213483,0.15339233038348082,0.08923482894897461
123,D1,0,sdistilroberta,1,i2q,approx,0.8089887640449438,0.031914893617021274,0.01642751693725586
124,D1,0,sdistilroberta,5,q2i,exact,0.9887640449438202,0.05191740412979351,0.010426759719848633
125,D1,0,sdistilroberta,5,i2q,exact,1.0,0.007890070921985815,0.02322697639465332
126,D1,0,sdistilroberta,5,q2i,approx,0.5955056179775281,0.03126843657817109,0.08859539031982422
127,D1,0,sdistilroberta,5,i2q,approx,0.8314606741573034,0.006560283687943262,0.01920008659362793
128,D1,0,sdistilroberta,10,q2i,exact,1.0,0.026253687315634218,0.013799905776977539
129,D1,0,sdistilroberta,10,i2q,exact,1.0,0.003945035460992907,0.03489327430725098
130,D1,0,sdistilroberta,10,q2i,approx,0.5842696629213483,0.015339233038348082,0.08951973915100098
131,D1,0,sdistilroberta,10,i2q,approx,0.8651685393258427,0.0034131205673758867,0.021681547164916992
132,D1,0,sminilm,1,q2i,exact,0.9550561797752809,0.25073746312684364,0.007414340972900391
133,D1,0,sminilm,1,i2q,exact,1.0,0.03945035460992908,0.010898113250732422
134,D1,0,sminilm,1,q2i,approx,0.3146067415730337,0.08259587020648967,0.04440903663635254
135,D1,0,sminilm,1,i2q,approx,0.651685393258427,0.025709219858156027,0.009461641311645508
136,D1,0,sminilm,5,q2i,exact,0.9775280898876404,0.05132743362831858,0.0067102909088134766
137,D1,0,sminilm,5,i2q,exact,1.0,0.007890070921985815,0.01875615119934082
138,D1,0,sminilm,5,q2i,approx,0.33707865168539325,0.017699115044247787,0.04546165466308594
139,D1,0,sminilm,5,i2q,approx,0.7191011235955056,0.005673758865248227,0.010866880416870117
140,D1,0,sminilm,10,q2i,exact,0.9775280898876404,0.02566371681415929,0.009042978286743164
141,D1,0,sminilm,10,i2q,exact,1.0,0.003945035460992907,0.028154850006103516
142,D1,0,sminilm,10,q2i,approx,0.34831460674157305,0.009144542772861357,0.04677534103393555
143,D1,0,sminilm,10,i2q,approx,0.651685393258427,0.0025709219858156026,0.013921260833740234
144,D1,1,word2vec,1,q2i,exact,0.011235955056179775,0.0029498525073746312,0.006528139114379883
145,D1,1,word2vec,1,i2q,exact,0.0,0.0,0.010848045349121094
146,D1,1,word2vec,1,q2i,approx,0.0,0.0,0.0942983627319336
147,D1,1,word2vec,1,i2q,approx,0.0,0.0,0.018950462341308594
148,D1,1,word2vec,5,q2i,exact,0.011235955056179775,0.0005899705014749262,0.0057713985443115234
149,D1,1,word2vec,5,i2q,exact,0.02247191011235955,0.0001773049645390071,0.017307758331298828
150,D1,1,word2vec,5,q2i,approx,0.011235955056179775,0.0005899705014749262,0.09393620491027832
151,D1,1,word2vec,5,i2q,approx,0.0,0.0,0.019671201705932617
152,D1,1,word2vec,10,q2i,exact,0.011235955056179775,0.0002949852507374631,0.008300542831420898
153,D1,1,word2vec,10,i2q,exact,0.02247191011235955,8.865248226950355e-05,0.027208566665649414
154,D1,1,word2vec,10,q2i,approx,0.011235955056179775,0.0002949852507374631,0.09624314308166504
155,D1,1,word2vec,10,i2q,approx,0.011235955056179775,4.4326241134751776e-05,0.021694183349609375
156,D1,1,fasttext,1,q2i,exact,0.42696629213483145,0.11209439528023599,0.006386756896972656
157,D1,1,fasttext,1,i2q,exact,0.7078651685393258,0.027925531914893616,0.010792255401611328
158,D1,1,fasttext,1,q2i,approx,0.0,0.0,0.06805205345153809
159,D1,1,fasttext,1,i2q,approx,0.02247191011235955,0.0008865248226950354,0.014853239059448242
160,D1,1,fasttext,5,q2i,exact,0.6629213483146067,0.03480825958702065,0.005604743957519531
161,D1,1,fasttext,5,i2q,exact,0.7415730337078652,0.005851063829787234,0.018311500549316406
162,D1,1,fasttext,5,q2i,approx,0.0,0.0,0.06807971000671387
163,D1,1,fasttext,5,i2q,approx,0.02247191011235955,0.0001773049645390071,0.016623973846435547
164,D1,1,fasttext,10,q2i,exact,0.6966292134831461,0.018289085545722714,0.007605552673339844
165,D1,1,fasttext,10,i2q,exact,0.7415730337078652,0.002925531914893617,0.02662515640258789
166,D1,1,fasttext,10,q2i,approx,0.0,0.0,0.06814098358154297
167,D1,1,fasttext,10,i2q,approx,0.02247191011235955,8.865248226950355e-05,0.018156051635742188
168,D1,1,glove,1,q2i,exact,0.011235955056179775,0.0029498525073746312,0.007168292999267578
169,D1,1,glove,1,i2q,exact,0.0,0.0,0.01009988784790039
170,D1,1,glove,1,q2i,approx,0.0,0.0,0.09201216697692871
171,D1,1,glove,1,i2q,approx,0.0,0.0,0.01844620704650879
172,D1,1,glove,5,q2i,exact,0.011235955056179775,0.0005899705014749262,0.005766868591308594
173,D1,1,glove,5,i2q,exact,0.02247191011235955,0.0001773049645390071,0.01689600944519043
174,D1,1,glove,5,q2i,approx,0.0,0.0,0.09438085556030273
175,D1,1,glove,5,i2q,approx,0.011235955056179775,8.865248226950355e-05,0.019884109497070312
176,D1,1,glove,10,q2i,exact,0.011235955056179775,0.0002949852507374631,0.0076656341552734375
177,D1,1,glove,10,i2q,exact,0.02247191011235955,8.865248226950355e-05,0.026520967483520508
178,D1,1,glove,10,q2i,approx,0.011235955056179775,0.0002949852507374631,0.09483027458190918
179,D1,1,glove,10,i2q,approx,0.0449438202247191,0.0001773049645390071,0.021140098571777344
180,D1,1,bert,1,q2i,exact,0.0,0.0,0.0112152099609375
181,D1,1,bert,1,i2q,exact,0.4943820224719101,0.01950354609929078,0.01501607894897461
182,D1,1,bert,1,q2i,approx,0.0,0.0,0.1664268970489502
183,D1,1,bert,1,i2q,approx,0.4943820224719101,0.01950354609929078,0.03043341636657715
184,D1,1,bert,5,q2i,exact,0.011235955056179775,0.0005899705014749262,0.010351419448852539
185,D1,1,bert,5,i2q,exact,0.7191011235955056,0.005673758865248227,0.02283310890197754
186,D1,1,bert,5,q2i,approx,0.011235955056179775,0.0005899705014749262,0.16476130485534668
187,D1,1,bert,5,i2q,approx,0.7191011235955056,0.005673758865248227,0.03175997734069824
188,D1,1,bert,10,q2i,exact,0.011235955056179775,0.0002949852507374631,0.012975215911865234
189,D1,1,bert,10,i2q,exact,0.8089887640449438,0.0031914893617021275,0.031916141510009766
190,D1,1,bert,10,q2i,approx,0.011235955056179775,0.0002949852507374631,0.1667168140411377
191,D1,1,bert,10,i2q,approx,0.8089887640449438,0.0031914893617021275,0.034177303314208984
192,D1,1,distilbert,1,q2i,exact,0.07865168539325842,0.02064896755162242,0.011403322219848633
193,D1,1,distilbert,1,i2q,exact,0.9213483146067416,0.03634751773049645,0.016032695770263672
194,D1,1,distilbert,1,q2i,approx,0.07865168539325842,0.02064896755162242,0.16409087181091309
195,D1,1,distilbert,1,i2q,approx,0.9213483146067416,0.03634751773049645,0.0287015438079834
196,D1,1,distilbert,5,q2i,exact,0.23595505617977527,0.012389380530973451,0.010337352752685547
197,D1,1,distilbert,5,i2q,exact,0.9662921348314607,0.007624113475177305,0.022015810012817383
198,D1,1,distilbert,5,q2i,approx,0.21348314606741572,0.011209439528023599,0.16390204429626465
199,D1,1,distilbert,5,i2q,approx,0.9662921348314607,0.007624113475177305,0.03191113471984863
200,D1,1,distilbert,10,q2i,exact,0.3595505617977528,0.00943952802359882,0.013584375381469727
201,D1,1,distilbert,10,i2q,exact,0.9662921348314607,0.0038120567375886523,0.033601999282836914
202,D1,1,distilbert,10,q2i,approx,0.3146067415730337,0.008259587020648967,0.16534018516540527
203,D1,1,distilbert,10,i2q,approx,0.9662921348314607,0.0038120567375886523,0.0344696044921875
204,D1,1,roberta,1,q2i,exact,0.0898876404494382,0.02359882005899705,0.011277198791503906
205,D1,1,roberta,1,i2q,exact,0.449438202247191,0.01773049645390071,0.014796972274780273
206,D1,1,roberta,1,q2i,approx,0.02247191011235955,0.0058997050147492625,0.16518759727478027
