,Case,Columns,Vectorizer,k,Direction,Exact,Precision,Recall,F1,Time
97,D3,2,sdistilroberta,10,left,exact,0.033004277722935176,0.9093381686310064,0.06369669450354047,0.41460752487182617
98,D3,2,sdistilroberta,10,both,exact,0.029616874730951356,0.9356300997280145,0.05741626794258374,0.41460752487182617
99,D3,2,sminilm,1,right,exact,0.4815361890694239,0.5911151405258386,0.5307285307285307,0.07388806343078613
100,D3,2,sminilm,1,left,exact,0.24053965120105297,0.6627379873073436,0.35296957991308553,0.07388806343078613
101,D3,2,sminilm,1,both,exact,0.240321193002581,0.7597461468721668,0.36514161220043573,0.07388806343078613
102,D3,2,sminilm,5,right,exact,0.14076809453471195,0.8640072529465095,0.2420932300266734,0.22561049461364746
103,D3,2,sminilm,5,left,exact,0.06515301085883514,0.8975521305530372,0.12148729905509877,0.22561049461364746
104,D3,2,sminilm,5,both,exact,0.05909744179361886,0.9320036264732547,0.11114715104335605,0.22561049461364746
105,D3,2,sminilm,10,right,exact,0.07577548005908419,0.9301903898458749,0.14013521819299324,0.4140009880065918
106,D3,2,sminilm,10,left,exact,0.034024350115169466,0.9374433363553943,0.06566538595878449,0.4140009880065918
107,D3,2,sminilm,10,both,exact,0.030669011039691003,0.9646418857660924,0.059447983014861996,0.4140009880065918
108,D4,2,smpnet,1,right,exact,0.8218654434250765,0.966726618705036,0.8884297520661157,0.0838327407836914
109,D4,2,smpnet,1,left,exact,0.9319965126416739,0.9613309352517986,0.9464364763169545,0.0838327407836914
110,D4,2,smpnet,1,both,exact,0.7851209823040809,0.9775179856115108,0.8708191468055279,0.0838327407836914
111,D4,2,smpnet,5,right,exact,0.1680428134556575,0.9883093525179856,0.28724516466283323,0.25031399726867676
112,D4,2,smpnet,5,left,exact,0.1901482127288579,0.9806654676258992,0.31853366437856,0.25031399726867676
113,D4,2,smpnet,5,both,exact,0.12018363666174783,0.9887589928057554,0.2143170410798694,0.25031399726867676
114,D4,2,smpnet,10,right,exact,0.08432721712538226,0.9919064748201439,0.15543968432919952,0.4600715637207031
115,D4,2,smpnet,10,left,exact,0.0953792502179599,0.9838129496402878,0.17389922110952155,0.4600715637207031
116,D4,2,smpnet,10,both,exact,0.05935508162332249,0.9923561151079137,0.11201055650011418,0.4600715637207031
117,D4,2,st5,1,right,exact,0.8348623853211009,0.9820143884892086,0.9024793388429752,0.0839381217956543
118,D4,2,st5,1,left,exact,0.9524847428073234,0.9824640287769785,0.9672421425409473,0.0839381217956543
119,D4,2,st5,1,both,exact,0.8085106382978723,0.9910071942446043,0.8905050505050505,0.0839381217956543
120,D4,2,st5,5,right,exact,0.16949541284403669,0.9968525179856115,0.28972817564035547,0.24940967559814453
121,D4,2,st5,5,left,exact,0.1927637314734089,0.9941546762589928,0.3229151453191178,0.24940967559814453
122,D4,2,st5,5,both,exact,0.11907191578495085,0.9968525179856115,0.21273329175262679,0.24940967559814453
123,D4,2,st5,10,right,exact,0.08478593272171253,0.9973021582733813,0.15628523111612175,0.45886850357055664
124,D4,2,st5,10,left,exact,0.09646904969485615,0.9950539568345323,0.17588618661580033,0.45886850357055664
125,D4,2,st5,10,both,exact,0.058009676997515365,0.9973021582733813,0.10964185966039694,0.45886850357055664
126,D4,2,sdistilroberta,1,right,exact,0.8268348623853211,0.9725719424460432,0.8938016528925621,0.08383965492248535
127,D4,2,sdistilroberta,1,left,exact,0.9354838709677419,0.9649280575539568,0.9499778663125276,0.08383965492248535
128,D4,2,sdistilroberta,1,both,exact,0.7900252981568485,0.9829136690647482,0.8759767581646963,0.08383965492248535
129,D4,2,sdistilroberta,5,right,exact,0.1686544342507645,0.9919064748201439,0.2882906429691584,0.24937152862548828
130,D4,2,sdistilroberta,5,left,exact,0.1907585004359198,0.9838129496402878,0.3195560099313568,0.24937152862548828
131,D4,2,sdistilroberta,5,both,exact,0.11809340600619857,0.9937050359712231,0.2110994364313688,0.24937152862548828
132,D4,2,sdistilroberta,10,right,exact,0.0845565749235474,0.9946043165467626,0.15586245772266066,0.4592101573944092
133,D4,2,sdistilroberta,10,left,exact,0.09572798605056669,0.987410071942446,0.17453505007153072,0.4592101573944092
134,D4,2,sdistilroberta,10,both,exact,0.05789748953974896,0.9955035971223022,0.10943060498220641,0.4592101573944092
135,D4,2,sminilm,1,right,exact,0.827217125382263,0.9730215827338129,0.8942148760330579,0.08119487762451172
136,D4,2,sminilm,1,left,exact,0.9389712292938099,0.9685251798561151,0.9535192563081009,0.08119487762451172
137,D4,2,sminilm,1,both,exact,0.7942133815551538,0.987410071942446,0.8803367408298257,0.08119487762451172
138,D4,2,sminilm,5,right,exact,0.16934250764525993,0.9959532374100719,0.2894668060637742,0.24821782112121582
139,D4,2,sminilm,5,left,exact,0.1918047079337402,0.9892086330935251,0.3213086023075799,0.24821782112121582
140,D4,2,sminilm,5,both,exact,0.12040206465634339,0.9964028776978417,0.2148431819283533,0.24821782112121582
141,D4,2,sminilm,10,right,exact,0.08470948012232415,0.9964028776978417,0.1561443066516347,0.4576427936553955
142,D4,2,sminilm,10,left,exact,0.09612031386224934,0.9914568345323741,0.1752503576537911,0.4576427936553955
143,D4,2,sminilm,10,both,exact,0.0592212512360031,0.9964028776978417,0.1117977953232601,0.4576427936553955
144,D5,2,smpnet,1,right,exact,0.13442751074638531,0.6417910447761194,0.2222940226171244,0.21497440338134766
145,D5,2,smpnet,1,left,exact,0.11101152368758002,0.808768656716418,0.19522630038279665,0.21497440338134766
