,Case,Columns,Vectorizer,k,Direction,Exact,Recall,Precision,Time
200,D3,1,xlnet,1,i2q,exact,0.019945602901178604,0.007239223428759461,0.04590606689453125
201,D3,1,albert,10,i2q,exact,0.04079782411604715,0.0014807502467917078,0.4612884521484375
202,D3,1,albert,5,i2q,exact,0.028105167724388033,0.002040144784468575,0.17315196990966797
203,D3,1,albert,1,i2q,exact,0.014505893019038985,0.0052648897663705166,0.0453341007232666
204,D3,1,smpnet,10,i2q,exact,0.6319129646418857,0.02293517604475156,0.4645965099334717
205,D3,1,smpnet,5,i2q,exact,0.5847688123300091,0.04244817374136229,0.31030702590942383
206,D3,1,smpnet,1,i2q,exact,0.39619220308250225,0.14379730174399474,0.04463529586791992
207,D3,1,st5,10,i2q,exact,0.6074342701722575,0.022046725896676538,0.4684488773345947
208,D3,1,st5,5,i2q,exact,0.5639165911151405,0.04093451793353076,0.27745985984802246
209,D3,1,st5,1,i2q,exact,0.3889392565729828,0.14116485686080948,0.04627227783203125
210,D3,1,sdistilroberta,10,i2q,exact,0.6201269265639165,0.02250740375123396,0.5472609996795654
211,D3,1,sdistilroberta,5,i2q,exact,0.5657298277425205,0.04106614017769003,0.17998480796813965
212,D3,1,sdistilroberta,1,i2q,exact,0.3952855847688123,0.14346824613359657,0.05684304237365723
213,D3,1,sminilm,10,i2q,exact,0.6337262012692656,0.023000987166831195,0.47013163566589355
214,D3,1,sminilm,5,i2q,exact,0.5829555757026292,0.04231655149720303,0.2327280044555664
215,D3,1,sminilm,1,i2q,exact,0.39981867633726204,0.14511352418558737,0.05612301826477051
216,D4,0,word2vec,10,i2q,exact,0.716726618705036,0.06948561464690498,0.5908036231994629
217,D4,0,word2vec,5,i2q,exact,0.6807553956834532,0.13199651264167392,0.16849780082702637
218,D4,0,word2vec,1,i2q,exact,0.5894784172661871,0.5714908456843941,0.0511627197265625
219,D4,0,fasttext,10,i2q,exact,0.95818345323741,0.09289450741063644,0.24872112274169922
220,D4,0,fasttext,5,i2q,exact,0.9424460431654677,0.18273757628596338,0.12735748291015625
221,D4,0,fasttext,1,i2q,exact,0.8678057553956835,0.8413251961639059,0.03314399719238281
222,D4,0,glove,10,i2q,exact,0.9932553956834532,0.09629468177855274,0.4264380931854248
223,D4,0,glove,5,i2q,exact,0.9901079136690647,0.1919790758500436,0.14932799339294434
224,D4,0,glove,1,i2q,exact,0.9653776978417267,0.9359197907585004,0.03348946571350098
225,D4,0,bert,10,i2q,exact,0.9757194244604317,0.0945945945945946,1.0406792163848877
226,D4,0,bert,5,i2q,exact,0.970773381294964,0.1882301656495205,0.5406973361968994
227,D4,0,bert,1,i2q,exact,0.947841726618705,0.918918918918919,0.10184574127197266
228,D4,0,distilbert,10,i2q,exact,0.9865107913669064,0.09564080209241499,0.39012765884399414
229,D4,0,distilbert,5,i2q,exact,0.9815647482014388,0.19032258064516128,0.2162644863128662
230,D4,0,distilbert,1,i2q,exact,0.9572841726618705,0.9280732345248475,0.035448312759399414
231,D4,0,roberta,10,i2q,exact,0.9469424460431655,0.0918047079337402,0.4976339340209961
232,D4,0,roberta,5,i2q,exact,0.9325539568345323,0.18081952920662597,0.30827856063842773
233,D4,0,roberta,1,i2q,exact,0.8732014388489209,0.8465562336530078,0.03514719009399414
234,D4,0,xlnet,10,i2q,exact,0.5836330935251799,0.05658238884045336,0.3836522102355957
235,D4,0,xlnet,5,i2q,exact,0.5625,0.1090671316477768,0.13489174842834473
236,D4,0,xlnet,1,i2q,exact,0.5170863309352518,0.5013077593722755,0.03621840476989746
237,D4,0,albert,10,i2q,exact,0.950089928057554,0.09210985178727114,0.4523019790649414
238,D4,0,albert,5,i2q,exact,0.9460431654676259,0.183435047951177,0.13355660438537598
239,D4,0,albert,1,i2q,exact,0.924910071942446,0.8966870095902354,0.03577876091003418
240,D4,0,smpnet,10,i2q,exact,0.9955035971223022,0.09651264167393199,0.2807810306549072
241,D4,0,smpnet,5,i2q,exact,0.9941546762589928,0.1927637314734089,0.39277029037475586
242,D4,0,smpnet,1,i2q,exact,0.9725719424460432,0.9428945074106364,0.03495669364929199
243,D4,0,st5,10,i2q,exact,0.9973021582733813,0.09668700959023539,0.3324127197265625
244,D4,0,st5,5,i2q,exact,0.9950539568345323,0.1929380993897123,0.12996673583984375
245,D4,0,st5,1,i2q,exact,0.97931654676259,0.949433304272014,0.035391807556152344
246,D4,0,sdistilroberta,10,i2q,exact,0.9973021582733813,0.09668700959023539,0.3362090587615967
247,D4,0,sdistilroberta,5,i2q,exact,0.9941546762589928,0.1927637314734089,0.14659619331359863
248,D4,0,sdistilroberta,1,i2q,exact,0.9775179856115108,0.9476896251089799,0.0639333724975586
249,D4,0,sminilm,10,i2q,exact,0.9968525179856115,0.09664341761115955,0.3760871887207031
250,D4,0,sminilm,5,i2q,exact,0.9928057553956835,0.1925021795989538,0.1287221908569336
251,D4,0,sminilm,1,i2q,exact,0.9716726618705036,0.9420226678291195,0.07590532302856445
252,D4,1,word2vec,10,i2q,exact,0.8925359712230215,0.08653007846556234,0.39490365982055664
253,D4,1,word2vec,5,i2q,exact,0.8637589928057554,0.16748038360941586,0.22289276123046875
254,D4,1,word2vec,1,i2q,exact,0.6744604316546763,0.6538796861377506,0.09720730781555176
255,D4,1,fasttext,10,i2q,exact,0.9694244604316546,0.09398430688753269,0.674889326095581
256,D4,1,fasttext,5,i2q,exact,0.9595323741007195,0.18605056669572798,0.17630672454833984
257,D4,1,fasttext,1,i2q,exact,0.8039568345323741,0.7794245858761988,0.0343625545501709
258,D4,1,glove,10,i2q,exact,0.960431654676259,0.09311246730601569,0.3735182285308838
259,D4,1,glove,5,i2q,exact,0.9464928057553957,0.18352223190932868,0.1336977481842041
260,D4,1,glove,1,i2q,exact,0.7922661870503597,0.7680906713164778,0.03331756591796875
261,D4,1,bert,10,i2q,exact,0.8511690647482014,0.08251961639058414,0.37489748001098633
262,D4,1,bert,5,i2q,exact,0.8057553956834532,0.15623365300784656,0.1885833740234375
263,D4,1,bert,1,i2q,exact,0.608363309352518,0.5897994768962511,0.03623080253601074
264,D4,1,distilbert,10,i2q,exact,0.8997302158273381,0.08722755013077593,0.3903200626373291
265,D4,1,distilbert,5,i2q,exact,0.8736510791366906,0.16939843068875327,0.1302199363708496
266,D4,1,distilbert,1,i2q,exact,0.7032374100719424,0.6817785527462947,0.035111427307128906
267,D4,1,roberta,10,i2q,exact,0.9460431654676259,0.0917175239755885,0.35077953338623047
268,D4,1,roberta,5,i2q,exact,0.9289568345323741,0.1801220575414124,0.16149187088012695
269,D4,1,roberta,1,i2q,exact,0.7652877697841727,0.7419354838709677,0.34445953369140625
270,D4,1,xlnet,10,i2q,exact,0.5049460431654677,0.0489537925021796,0.3786156177520752
271,D4,1,xlnet,5,i2q,exact,0.4694244604316547,0.0910200523103749,0.13518118858337402
272,D4,1,xlnet,1,i2q,exact,0.36555755395683454,0.35440278988666085,0.05285048484802246
273,D4,1,albert,10,i2q,exact,0.5616007194244604,0.05444638186573671,0.5684022903442383
274,D4,1,albert,5,i2q,exact,0.5130395683453237,0.0994768962510898,0.1307659149169922
275,D4,1,albert,1,i2q,exact,0.37994604316546765,0.36835222319093286,0.03576779365539551
